,Ventilated__PD_PeriodicityWang_th0_01,Dopamine__CO_Embed2_Dist_tau_d_expfit_meandiff,Outcome,DBP__DN_Mean,SpO2__DN_HistogramMode_10,Creatinine__DN_HistogramMode_10,SpO2__DN_Mean,Sodium__DN_HistogramMode_10,Sodium__DN_Mean,PTT__CO_Embed2_Dist_tau_d_expfit_meandiff,Potassium__DN_Spread_Std,DBP__DN_HistogramMode_10,DBP__DN_HistogramMode_5,Peds Coma Score__DN_HistogramMode_10,PTT__SP_Summaries_welch_rect_area_5_1,Blood urea nitrogen__CO_Embed2_Dist_tau_d_expfit_meandiff,Weight__SP_Summaries_welch_rect_area_5_1
Ventilated__PD_PeriodicityWang_th0_01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dopamine__CO_Embed2_Dist_tau_d_expfit_meandiff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outcome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBP__DN_Mean,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SpO2__DN_HistogramMode_10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Creatinine__DN_HistogramMode_10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SpO2__DN_Mean,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sodium__DN_HistogramMode_10,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sodium__DN_Mean,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTT__CO_Embed2_Dist_tau_d_expfit_meandiff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Potassium__DN_Spread_Std,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBP__DN_HistogramMode_10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DBP__DN_HistogramMode_5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peds Coma Score__DN_HistogramMode_10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTT__SP_Summaries_welch_rect_area_5_1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blood urea nitrogen__CO_Embed2_Dist_tau_d_expfit_meandiff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weight__SP_Summaries_welch_rect_area_5_1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
