Model,DAG,Average Precision,AUROC,Precision,Recall,F1 Score,Accuracy,ECE,# Features,# Biomarkers
LGBN,Control,"0.76 (0.72, 0.80)","0.90 (0.88, 0.92)","0.95 (0.93, 0.96)","0.78 (0.76, 0.81)","0.84 (0.82, 0.86)","0.95 (0.94, 0.96)",0.137,811,45
XGB,Control,"0.81 (0.78, 0.84)","0.93 (0.91, 0.95)","0.94 (0.92, 0.95)","0.80 (0.78, 0.83)","0.85 (0.83, 0.87)","0.95 (0.94, 0.96)",0.089,811,45
LGBN,Correlation,"0.73 (0.69, 0.76)","0.87 (0.84, 0.89)","0.95 (0.93, 0.96)","0.74 (0.72, 0.77)","0.81 (0.79, 0.83)","0.94 (0.93, 0.95)",0.133,113,37
XGB,Correlation,"0.75 (0.71, 0.78)","0.90 (0.88, 0.91)","0.90 (0.88, 0.92)","0.78 (0.76, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.108,113,37
LGBN,Simplified Clinician Consensus $\cup$ Simplified PCMB,"0.75 (0.71, 0.79)","0.90 (0.88, 0.92)","0.93 (0.92, 0.95)","0.76 (0.74, 0.79)","0.82 (0.80, 0.84)","0.94 (0.94, 0.95)",0.134,334,19
XGB,Simplified Clinician Consensus $\cup$ Simplified PCMB,"0.77 (0.74, 0.81)","0.91 (0.89, 0.93)","0.92 (0.91, 0.94)","0.79 (0.77, 0.82)","0.84 (0.82, 0.87)","0.95 (0.94, 0.96)",0.092,334,19
LGBN,Simplified Clinician Consensus $\cup$ Simplified Golem,"0.74 (0.70, 0.78)","0.90 (0.88, 0.92)","0.93 (0.91, 0.95)","0.77 (0.75, 0.80)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.140,408,23
XGB,Simplified Clinician Consensus $\cup$ Simplified Golem,"0.79 (0.76, 0.82)","0.91 (0.89, 0.93)","0.93 (0.91, 0.95)","0.80 (0.78, 0.83)","0.85 (0.83, 0.87)","0.95 (0.94, 0.96)",0.094,408,23
LGBN,Simplified Golem $\cup$ Simplified PCMB,"0.74 (0.71, 0.78)","0.90 (0.88, 0.92)","0.93 (0.92, 0.95)","0.76 (0.74, 0.79)","0.82 (0.80, 0.84)","0.94 (0.94, 0.95)",0.138,407,23
XGB,Simplified Golem $\cup$ Simplified PCMB,"0.78 (0.75, 0.81)","0.91 (0.89, 0.93)","0.91 (0.89, 0.93)","0.79 (0.77, 0.81)","0.84 (0.82, 0.86)","0.94 (0.94, 0.95)",0.093,407,23
LGBN,Simplified Clinician Consensus,"0.75 (0.72, 0.79)","0.90 (0.88, 0.92)","0.94 (0.92, 0.96)","0.76 (0.74, 0.79)","0.82 (0.80, 0.84)","0.94 (0.94, 0.95)",0.133,278,16
XGB,Simplified Clinician Consensus,"0.78 (0.75, 0.82)","0.91 (0.89, 0.93)","0.94 (0.92, 0.95)","0.80 (0.77, 0.82)","0.85 (0.83, 0.87)","0.95 (0.94, 0.96)",0.094,278,16
LGBN,Simplified Clinician Consensus $\cap$ Simplified PCMB,"0.75 (0.72, 0.79)","0.90 (0.88, 0.92)","0.95 (0.93, 0.96)","0.76 (0.74, 0.78)","0.82 (0.80, 0.84)","0.94 (0.94, 0.95)",0.132,240,14
XGB,Simplified Clinician Consensus $\cap$ Simplified PCMB,"0.79 (0.75, 0.82)","0.91 (0.89, 0.93)","0.93 (0.91, 0.94)","0.80 (0.77, 0.82)","0.85 (0.82, 0.86)","0.95 (0.94, 0.96)",0.095,240,14
LGBN,Simplified PCMB,"0.75 (0.71, 0.79)","0.90 (0.88, 0.92)","0.94 (0.92, 0.95)","0.76 (0.74, 0.79)","0.82 (0.80, 0.85)","0.94 (0.94, 0.95)",0.133,296,17
XGB,Simplified PCMB,"0.78 (0.75, 0.82)","0.91 (0.89, 0.93)","0.92 (0.91, 0.94)","0.79 (0.77, 0.81)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.092,296,17
LGBN,Simplified Golem,"0.73 (0.70, 0.77)","0.90 (0.88, 0.91)","0.92 (0.90, 0.94)","0.75 (0.73, 0.78)","0.81 (0.79, 0.83)","0.94 (0.93, 0.95)",0.138,199,11
XGB,Simplified Golem,"0.77 (0.74, 0.80)","0.91 (0.89, 0.93)","0.91 (0.90, 0.93)","0.79 (0.76, 0.81)","0.83 (0.82, 0.86)","0.94 (0.94, 0.95)",0.095,199,11
LGBN,Simplified Golem $\cap$ Simplified PCMB,"0.71 (0.67, 0.76)","0.89 (0.87, 0.91)","0.93 (0.91, 0.94)","0.74 (0.71, 0.76)","0.80 (0.77, 0.82)","0.94 (0.93, 0.95)",0.131,88,5
XGB,Simplified Golem $\cap$ Simplified PCMB,"0.76 (0.73, 0.80)","0.90 (0.89, 0.92)","0.90 (0.88, 0.92)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.102,88,5
LGBN,Simplified Clinician Consensus $\cap$ Simplified Golem,"0.72 (0.67, 0.75)","0.88 (0.86, 0.90)","0.94 (0.92, 0.95)","0.73 (0.70, 0.75)","0.79 (0.77, 0.81)","0.94 (0.93, 0.94)",0.130,69,4
XGB,Simplified Clinician Consensus $\cap$ Simplified Golem,"0.74 (0.70, 0.77)","0.89 (0.87, 0.91)","0.89 (0.87, 0.91)","0.78 (0.76, 0.80)","0.82 (0.80, 0.84)","0.94 (0.93, 0.95)",0.106,69,4
