split,component,n_positive,n,prevalence
train,BH,240,13054,0.0184
train,EEG,439,13054,0.0336
train,CT,813,13054,0.0623
train,MRI,515,13054,0.0395
train,Meds,2576,13054,0.1973
train,BHMeds,0,13054,0.0
train,Haloperidol,10,13054,0.0008
train,Olanzapine,42,13054,0.0032
train,Dexmedetomidine,2524,13054,0.1934
train,Outcome,1767,13054,0.1354
test,BH,145,3895,0.0372
test,EEG,185,3895,0.0475
test,CT,131,3895,0.0336
test,MRI,115,3895,0.0295
test,Meds,497,3895,0.1276
test,BHMeds,0,3895,0.0
test,Haloperidol,1,3895,0.0003
test,Olanzapine,72,3895,0.0185
test,Dexmedetomidine,424,3895,0.1089
test,Outcome,431,3895,0.1107
