Model,DAG,Average Precision,AUROC,Precision,Recall,F1 Score,Accuracy,ECE,# Features,# Biomarkers
Generative LGBN,Control,"0.48 (0.44, 0.52)","0.84 (0.82, 0.86)","0.77 (0.74, 0.79)","0.78 (0.75, 0.80)","0.77 (0.75, 0.79)","0.91 (0.90, 0.92)",0.116,811,45
XGB,Control,"0.81 (0.78, 0.84)","0.93 (0.91, 0.95)","0.94 (0.92, 0.95)","0.80 (0.78, 0.83)","0.85 (0.83, 0.87)","0.95 (0.94, 0.96)",0.089,811,45
Generative LGBN,Correlation,"0.51 (0.47, 0.56)","0.80 (0.78, 0.83)","0.81 (0.78, 0.83)","0.74 (0.72, 0.77)","0.77 (0.75, 0.79)","0.92 (0.91, 0.93)",0.085,113,37
XGB,Correlation,"0.75 (0.71, 0.78)","0.90 (0.88, 0.91)","0.90 (0.88, 0.92)","0.78 (0.76, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.108,113,37
Generative LGBN,Clinician Consensus $\cup$ Golem,"0.53 (0.49, 0.58)","0.84 (0.82, 0.86)","0.77 (0.75, 0.79)","0.77 (0.74, 0.79)","0.77 (0.75, 0.79)","0.91 (0.90, 0.92)",0.108,212,22
XGB,Clinician Consensus $\cup$ Golem,"0.79 (0.75, 0.82)","0.92 (0.90, 0.93)","0.91 (0.89, 0.93)","0.80 (0.78, 0.82)","0.85 (0.83, 0.87)","0.95 (0.94, 0.95)",0.096,212,22
Generative LGBN,Simplified Clinician Consensus $\cup$ Simplified PCMB,"0.53 (0.49, 0.58)","0.87 (0.85, 0.89)","0.79 (0.77, 0.81)","0.79 (0.76, 0.81)","0.79 (0.77, 0.81)","0.92 (0.91, 0.93)",0.110,315,18
XGB,Simplified Clinician Consensus $\cup$ Simplified PCMB,"0.79 (0.75, 0.82)","0.91 (0.89, 0.93)","0.92 (0.90, 0.93)","0.80 (0.78, 0.83)","0.85 (0.83, 0.87)","0.95 (0.94, 0.96)",0.094,315,18
Generative LGBN,Simplified Clinician Consensus $\cup$ Simplified Golem,"0.51 (0.46, 0.55)","0.84 (0.82, 0.87)","0.77 (0.75, 0.80)","0.77 (0.75, 0.79)","0.77 (0.75, 0.79)","0.91 (0.90, 0.92)",0.109,389,22
XGB,Simplified Clinician Consensus $\cup$ Simplified Golem,"0.78 (0.75, 0.82)","0.91 (0.89, 0.93)","0.92 (0.90, 0.94)","0.79 (0.77, 0.82)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.092,389,22
