DAG,Avg Precision LGBN,Avg Precision XGB,P-value
Control,0.4774,0.8082,0.000e+00
Correlation,0.5142,0.7467,0.000e+00
Clinician Consensus $\cup$ Golem,0.5283,0.7850,0.000e+00
Simplified Clinician Consensus $\cup$ Simplified PCMB,0.5311,0.7859,0.000e+00
Simplified Clinician Consensus $\cup$ Simplified Golem,0.5063,0.7805,0.000e+00
Clinician Consensus $\cup$ PCMB,0.5162,0.7641,0.000e+00
Simplified Golem $\cup$ Simplified PCMB,0.5127,0.7800,0.000e+00
Clinician Consensus,0.5230,0.7689,0.000e+00
Simplified Clinician Consensus,0.5180,0.7742,0.000e+00
Clinician Consensus $\cap$ PCMB,0.5939,0.6795,1.000e-03
Golem,0.2576,0.5554,0.000e+00
PCMB,0.5871,0.7092,0.000e+00
Simplified Clinician Consensus $\cap$ Simplified PCMB,0.5004,0.7857,0.000e+00
Simplified PCMB,0.5346,0.7809,0.000e+00
Clinician Consensus $\cap$ Golem,0.1760,0.2515,1.000e-03
Simplified Golem,0.5194,0.7707,0.000e+00
Golem $\cup$ PCMB,0.5823,0.7441,0.000e+00
Simplified Golem $\cap$ Simplified PCMB,0.5537,0.7632,0.000e+00
Simplified Clinician Consensus $\cap$ Simplified Golem,0.5696,0.7363,0.000e+00
