DAG,Z-score,P-value
Control,8.8821,6.562e-19
Correlation,7.7685,7.941e-15
Clinician Consensus $\cup$ Golem,7.2008,5.985e-13
Simplified Clinician Consensus $\cup$ Simplified PCMB,4.5700,4.878e-06
Simplified Clinician Consensus $\cup$ Simplified Golem,6.1230,9.184e-10
Clinician Consensus $\cup$ PCMB,5.4507,5.017e-08
Simplified Golem $\cup$ Simplified PCMB,5.3593,8.352e-08
Clinician Consensus,5.7698,7.939e-09
Simplified Clinician Consensus,6.1615,7.205e-10
Clinician Consensus $\cap$ PCMB,2.8826,3.944e-03
Golem,9.4665,2.893e-21
PCMB,2.6557,7.914e-03
Simplified Clinician Consensus $\cap$ Simplified PCMB,6.8042,1.016e-11
Simplified PCMB,4.2337,2.299e-05
Clinician Consensus $\cap$ Golem,5.0653,4.077e-07
Simplified Golem,6.0062,1.899e-09
Golem $\cup$ PCMB,5.2149,1.839e-07
Simplified Golem $\cap$ Simplified PCMB,5.5593,2.709e-08
Simplified Clinician Consensus $\cap$ Simplified Golem,3.7647,1.667e-04
