DAG,Avg Precision LGBN,Avg Precision XGB,P-value
Control,0.4683,0.7838,0.000e+00
Correlation,0.5502,0.7453,0.000e+00
Clinician Consensus $\cup$ Golem,0.5368,0.7683,0.000e+00
Simplified Clinician Consensus $\cup$ Simplified PCMB,0.4658,0.7639,0.000e+00
Simplified Clinician Consensus $\cup$ Simplified Golem,0.4770,0.7729,0.000e+00
Clinician Consensus $\cup$ PCMB,0.5204,0.7644,0.000e+00
Simplified Golem $\cup$ Simplified PCMB,0.4541,0.7664,0.000e+00
Clinician Consensus,0.5316,0.7637,0.000e+00
Simplified Clinician Consensus,0.4950,0.7273,0.000e+00
Clinician Consensus $\cap$ PCMB,0.5662,0.6590,0.000e+00
Golem,0.2587,0.5441,0.000e+00
PCMB,0.5573,0.6865,0.000e+00
Simplified Clinician Consensus $\cap$ Simplified PCMB,0.4950,0.7273,0.000e+00
Simplified PCMB,0.4658,0.7639,0.000e+00
Clinician Consensus $\cap$ Golem,0.1760,0.2515,1.000e-03
Simplified Golem,0.4826,0.7581,0.000e+00
Golem $\cup$ PCMB,0.5550,0.7285,0.000e+00
Simplified Golem $\cap$ Simplified PCMB,0.4689,0.7136,0.000e+00
Simplified Clinician Consensus $\cap$ Simplified Golem,0.4348,0.6615,0.000e+00
