DAG,Z-score,P-value
Control,8.1156,4.836e-16
Correlation,7.1856,6.690e-13
Clinician Consensus $\cup$ Golem,5.6721,1.410e-08
Simplified Clinician Consensus $\cup$ Simplified PCMB,7.7323,1.056e-14
Simplified Clinician Consensus $\cup$ Simplified Golem,7.4417,9.942e-14
Clinician Consensus $\cup$ PCMB,5.5715,2.526e-08
Simplified Golem $\cup$ Simplified PCMB,7.9977,1.268e-15
Clinician Consensus,5.6888,1.280e-08
Simplified Clinician Consensus,6.7090,1.959e-11
Clinician Consensus $\cap$ PCMB,3.5034,4.593e-04
Golem,8.8807,6.646e-19
PCMB,5.1015,3.370e-07
Simplified Clinician Consensus $\cap$ Simplified PCMB,6.7090,1.959e-11
Simplified PCMB,7.7323,1.056e-14
Clinician Consensus $\cap$ Golem,5.0653,4.077e-07
Simplified Golem,6.7127,1.910e-11
Golem $\cup$ PCMB,5.9383,2.880e-09
Simplified Golem $\cap$ Simplified PCMB,6.9614,3.368e-12
Simplified Clinician Consensus $\cap$ Simplified Golem,5.6334,1.766e-08
