Model,DAG,Average Precision,AUROC,Precision,Recall,F1 Score,Accuracy,ECE,# Features,# Biomarkers
LGBN,Control,"0.74 (0.70, 0.78)","0.89 (0.87, 0.91)","0.94 (0.93, 0.96)","0.76 (0.74, 0.79)","0.82 (0.80, 0.85)","0.94 (0.94, 0.95)",0.134,521,28
XGB,Control,"0.78 (0.75, 0.82)","0.92 (0.90, 0.93)","0.90 (0.88, 0.92)","0.80 (0.78, 0.82)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.093,521,28
LGBN,Correlation,"0.69 (0.66, 0.74)","0.85 (0.82, 0.87)","0.94 (0.93, 0.96)","0.72 (0.70, 0.74)","0.78 (0.76, 0.81)","0.94 (0.93, 0.94)",0.130,53,20
XGB,Correlation,"0.75 (0.71, 0.78)","0.89 (0.87, 0.91)","0.90 (0.88, 0.92)","0.78 (0.76, 0.80)","0.83 (0.80, 0.85)","0.94 (0.93, 0.95)",0.114,53,20
LGBN,Simplified Clinician Consensus $\cup$ Simplified PCMB,"0.69 (0.65, 0.73)","0.88 (0.85, 0.90)","0.91 (0.89, 0.93)","0.71 (0.69, 0.74)","0.77 (0.75, 0.80)","0.93 (0.92, 0.94)",0.144,150,8
XGB,Simplified Clinician Consensus $\cup$ Simplified PCMB,"0.76 (0.73, 0.80)","0.91 (0.89, 0.93)","0.90 (0.88, 0.92)","0.79 (0.76, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.104,150,8
LGBN,Simplified Clinician Consensus $\cup$ Simplified Golem,"0.72 (0.68, 0.76)","0.88 (0.86, 0.90)","0.91 (0.89, 0.93)","0.73 (0.71, 0.76)","0.79 (0.77, 0.81)","0.93 (0.93, 0.94)",0.142,223,12
XGB,Simplified Clinician Consensus $\cup$ Simplified Golem,"0.76 (0.73, 0.80)","0.91 (0.89, 0.93)","0.90 (0.88, 0.92)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.100,223,12
LGBN,Simplified Golem $\cup$ Simplified PCMB,"0.70 (0.67, 0.75)","0.88 (0.86, 0.90)","0.92 (0.90, 0.94)","0.73 (0.71, 0.76)","0.79 (0.77, 0.81)","0.94 (0.93, 0.94)",0.141,223,12
XGB,Simplified Golem $\cup$ Simplified PCMB,"0.77 (0.73, 0.80)","0.91 (0.89, 0.93)","0.91 (0.89, 0.93)","0.78 (0.76, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.098,223,12
LGBN,Simplified Clinician Consensus,"0.69 (0.65, 0.73)","0.87 (0.85, 0.89)","0.91 (0.89, 0.93)","0.71 (0.69, 0.73)","0.77 (0.74, 0.79)","0.93 (0.92, 0.94)",0.146,112,6
XGB,Simplified Clinician Consensus,"0.73 (0.70, 0.77)","0.90 (0.88, 0.92)","0.90 (0.87, 0.92)","0.76 (0.74, 0.79)","0.81 (0.79, 0.83)","0.94 (0.93, 0.95)",0.104,112,6
LGBN,Simplified Clinician Consensus $\cap$ Simplified PCMB,"0.68 (0.64, 0.72)","0.87 (0.84, 0.89)","0.92 (0.90, 0.94)","0.70 (0.68, 0.72)","0.76 (0.73, 0.78)","0.93 (0.92, 0.94)",0.146,93,5
XGB,Simplified Clinician Consensus $\cap$ Simplified PCMB,"0.73 (0.69, 0.76)","0.89 (0.87, 0.91)","0.89 (0.87, 0.91)","0.78 (0.75, 0.80)","0.82 (0.80, 0.84)","0.94 (0.93, 0.95)",0.108,93,5
LGBN,Simplified PCMB,"0.69 (0.65, 0.73)","0.87 (0.85, 0.89)","0.91 (0.89, 0.93)","0.72 (0.69, 0.74)","0.77 (0.75, 0.80)","0.93 (0.92, 0.94)",0.145,131,7
XGB,Simplified PCMB,"0.76 (0.73, 0.80)","0.91 (0.89, 0.92)","0.89 (0.87, 0.91)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.93, 0.95)",0.104,131,7
LGBN,Simplified Golem,"0.69 (0.65, 0.73)","0.87 (0.85, 0.89)","0.91 (0.89, 0.93)","0.72 (0.70, 0.74)","0.78 (0.75, 0.80)","0.93 (0.92, 0.94)",0.142,149,8
XGB,Simplified Golem,"0.76 (0.72, 0.79)","0.91 (0.89, 0.92)","0.90 (0.88, 0.92)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.102,149,8
LGBN,Simplified Golem $\cap$ Simplified PCMB,"0.60 (0.56, 0.65)","0.85 (0.83, 0.87)","0.89 (0.86, 0.91)","0.67 (0.65, 0.69)","0.72 (0.70, 0.75)","0.92 (0.91, 0.93)",0.150,57,3
XGB,Simplified Golem $\cap$ Simplified PCMB,"0.71 (0.68, 0.75)","0.89 (0.87, 0.91)","0.86 (0.84, 0.89)","0.77 (0.75, 0.80)","0.81 (0.79, 0.83)","0.93 (0.93, 0.94)",0.113,57,3
LGBN,Simplified Clinician Consensus $\cap$ Simplified Golem,"0.56 (0.51, 0.60)","0.82 (0.79, 0.84)","0.87 (0.84, 0.90)","0.63 (0.60, 0.65)","0.67 (0.64, 0.70)","0.91 (0.90, 0.92)",0.152,38,2
XGB,Simplified Clinician Consensus $\cap$ Simplified Golem,"0.66 (0.62, 0.70)","0.86 (0.84, 0.88)","0.85 (0.82, 0.87)","0.74 (0.72, 0.76)","0.78 (0.76, 0.80)","0.93 (0.92, 0.93)",0.116,38,2
