Model,DAG,Average Precision,AUROC,Precision,Recall,F1 Score,Accuracy,ECE,# Features,# Biomarkers
LGBN,Control,"0.75 (0.71, 0.79)","0.90 (0.88, 0.91)","0.95 (0.93, 0.96)","0.77 (0.75, 0.79)","0.83 (0.81, 0.85)","0.95 (0.94, 0.95)",0.135,624,34
XGB,Control,"0.80 (0.77, 0.83)","0.92 (0.91, 0.94)","0.92 (0.90, 0.94)","0.80 (0.78, 0.82)","0.85 (0.83, 0.87)","0.95 (0.94, 0.96)",0.090,624,34
LGBN,Correlation,"0.72 (0.68, 0.76)","0.86 (0.84, 0.89)","0.94 (0.93, 0.96)","0.73 (0.71, 0.75)","0.80 (0.77, 0.82)","0.94 (0.93, 0.95)",0.129,70,26
XGB,Correlation,"0.75 (0.71, 0.79)","0.89 (0.87, 0.91)","0.90 (0.88, 0.92)","0.78 (0.76, 0.80)","0.82 (0.80, 0.85)","0.94 (0.93, 0.95)",0.111,70,26
LGBN,Simplified Clinician Consensus $\cup$ Simplified PCMB,"0.74 (0.70, 0.78)","0.90 (0.88, 0.92)","0.93 (0.91, 0.95)","0.75 (0.73, 0.77)","0.81 (0.79, 0.83)","0.94 (0.93, 0.95)",0.133,217,12
XGB,Simplified Clinician Consensus $\cup$ Simplified PCMB,"0.77 (0.74, 0.81)","0.90 (0.88, 0.92)","0.91 (0.89, 0.93)","0.80 (0.78, 0.82)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.098,217,12
LGBN,Simplified Clinician Consensus $\cup$ Simplified Golem,"0.74 (0.71, 0.78)","0.90 (0.88, 0.92)","0.92 (0.90, 0.94)","0.76 (0.73, 0.78)","0.81 (0.79, 0.84)","0.94 (0.93, 0.95)",0.138,290,16
XGB,Simplified Clinician Consensus $\cup$ Simplified Golem,"0.78 (0.74, 0.81)","0.90 (0.89, 0.92)","0.91 (0.89, 0.93)","0.81 (0.78, 0.83)","0.85 (0.83, 0.87)","0.95 (0.94, 0.96)",0.099,290,16
LGBN,Simplified Golem $\cup$ Simplified PCMB,"0.73 (0.69, 0.77)","0.89 (0.87, 0.91)","0.92 (0.90, 0.94)","0.76 (0.73, 0.78)","0.81 (0.79, 0.83)","0.94 (0.93, 0.95)",0.137,271,15
XGB,Simplified Golem $\cup$ Simplified PCMB,"0.78 (0.75, 0.82)","0.91 (0.89, 0.93)","0.91 (0.89, 0.93)","0.79 (0.77, 0.82)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.096,271,15
LGBN,Simplified Clinician Consensus,"0.75 (0.71, 0.79)","0.90 (0.88, 0.91)","0.94 (0.93, 0.95)","0.75 (0.73, 0.77)","0.81 (0.79, 0.83)","0.94 (0.93, 0.95)",0.131,179,10
XGB,Simplified Clinician Consensus,"0.77 (0.73, 0.80)","0.90 (0.88, 0.92)","0.93 (0.91, 0.94)","0.79 (0.77, 0.81)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.096,179,10
LGBN,Simplified Clinician Consensus $\cap$ Simplified PCMB,"0.74 (0.70, 0.77)","0.89 (0.87, 0.91)","0.94 (0.92, 0.95)","0.74 (0.72, 0.77)","0.81 (0.78, 0.83)","0.94 (0.93, 0.95)",0.133,141,8
XGB,Simplified Clinician Consensus $\cap$ Simplified PCMB,"0.76 (0.73, 0.80)","0.91 (0.89, 0.92)","0.91 (0.89, 0.93)","0.78 (0.76, 0.80)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.100,141,8
LGBN,Simplified PCMB,"0.73 (0.69, 0.77)","0.89 (0.87, 0.91)","0.93 (0.91, 0.95)","0.74 (0.72, 0.77)","0.80 (0.78, 0.83)","0.94 (0.93, 0.95)",0.133,179,10
XGB,Simplified PCMB,"0.78 (0.75, 0.81)","0.91 (0.89, 0.93)","0.92 (0.90, 0.93)","0.80 (0.77, 0.82)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.101,179,10
LGBN,Simplified Golem,"0.72 (0.68, 0.76)","0.89 (0.87, 0.91)","0.92 (0.90, 0.94)","0.74 (0.72, 0.76)","0.80 (0.78, 0.82)","0.94 (0.93, 0.95)",0.136,180,10
XGB,Simplified Golem,"0.78 (0.75, 0.81)","0.92 (0.90, 0.93)","0.91 (0.89, 0.93)","0.79 (0.77, 0.82)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.098,180,10
LGBN,Simplified Golem $\cap$ Simplified PCMB,"0.71 (0.67, 0.76)","0.89 (0.87, 0.91)","0.93 (0.91, 0.94)","0.74 (0.71, 0.76)","0.80 (0.77, 0.82)","0.94 (0.93, 0.95)",0.131,88,5
XGB,Simplified Golem $\cap$ Simplified PCMB,"0.76 (0.73, 0.80)","0.90 (0.89, 0.92)","0.90 (0.88, 0.92)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.102,88,5
LGBN,Simplified Clinician Consensus $\cap$ Simplified Golem,"0.72 (0.67, 0.75)","0.88 (0.86, 0.90)","0.94 (0.92, 0.95)","0.73 (0.70, 0.75)","0.79 (0.77, 0.81)","0.94 (0.93, 0.94)",0.130,69,4
XGB,Simplified Clinician Consensus $\cap$ Simplified Golem,"0.74 (0.70, 0.77)","0.89 (0.87, 0.91)","0.89 (0.87, 0.91)","0.78 (0.76, 0.80)","0.82 (0.80, 0.84)","0.94 (0.93, 0.95)",0.106,69,4
