k,n_patients,n_pos,AUPRC,AUROC
0,3895,431,0.7913135043513759,0.9228973652765199
1,3655,192,0.3863992346028895,0.8413451126191163
2,3651,188,0.3588654163738839,0.844061998881796
3,3648,185,0.3683161727641593,0.8436982463260257
4,3643,181,0.3519414894293007,0.8344368694364384
5,3641,179,0.334005325994414,0.8279444180875202
6,3633,172,0.3176334151186919,0.8139543282960294
7,3629,169,0.2985554067156079,0.8144910558538836
8,3612,163,0.2856355374686786,0.8096585299909106
9,3601,160,0.27824387231658876,0.7903398358035455
10,3583,155,0.2628891326911965,0.7904063311627206
11,3543,151,0.28756713995947375,0.7905580329251531
12,3493,149,0.26969855447346935,0.7838861950483286
13,3453,148,0.2447399846060896,0.7786308623298033
14,3411,146,0.2542489046407001,0.7723562482955381
15,3365,144,0.2539600708748845,0.7855921642692055
16,3316,143,0.2672408394694334,0.7759141268438463
17,3257,140,0.2662739656076874,0.7790721389614557
18,3211,140,0.2666362801869774,0.7753372563613528
19,3151,138,0.26757738657735103,0.784654179713993
20,3100,137,0.27465081075484044,0.7806560720910696
21,3048,136,0.30625656392907186,0.7888630211700065
22,3006,136,0.29541192728248966,0.7867493338798933
23,2974,133,0.2986280160393754,0.7858267633180098
24,2943,132,0.2859505536629757,0.777222599527829
25,2902,131,0.28324362952217147,0.7844675359021049
26,2874,129,0.2758179396358506,0.77663546123325
27,2846,128,0.2745866366055292,0.776044541022811
28,2814,127,0.25938921956963706,0.7701458465812354
29,2791,126,0.2921397209222196,0.7631659668245034
30,2764,125,0.2879015368592155,0.7656718453959834
31,2736,123,0.2683105813431991,0.7560259988363374
32,2711,122,0.26184405527590227,0.744473782522526
33,2669,118,0.23667613222523143,0.7359941930382902
34,2643,115,0.24201521798536935,0.7457398871766648
35,2609,115,0.2380443473713535,0.7285380565531189
36,2568,114,0.22953211641750018,0.7292211784555112
37,2525,112,0.2527395757751381,0.7366163933455687
38,2497,111,0.22966155393666288,0.7229918518686331
39,2457,110,0.24702276082587574,0.7198454506720378
40,2425,109,0.22818514380253563,0.726973110868153
41,2382,108,0.2125486852687672,0.728462246327242
42,2349,108,0.2336986297983067,0.7332044226287868
43,2317,108,0.22468814835651274,0.7289916670858274
44,2278,107,0.23984531128041467,0.7289353715286895
45,2239,107,0.25737390126021625,0.7302234749522191
46,2203,105,0.23379188020272873,0.7232193926188206
47,2165,104,0.2168533578592472,0.7254320158250289
48,2133,103,0.21126746120590315,0.72581902530011
49,2107,103,0.21441907368226962,0.737154332112474
50,2074,101,0.19750009466703322,0.7320936604557566
51,2049,101,0.21220234957078604,0.7271585988167605
52,2028,99,0.23863458157370654,0.7245995465280068
53,2003,99,0.22895095217226918,0.7257528011204482
54,1976,95,0.21355693485380153,0.7167156327821147
55,1957,95,0.2064856419642595,0.7101277630165639
56,1941,93,0.2194095617353494,0.7148326583810456
57,1923,93,0.2078337977195202,0.7170720958928257
58,1907,93,0.20902931676748374,0.7203975056608696
59,1890,92,0.2161427366897436,0.7078245151617739
60,1872,91,0.2042914936264384,0.7147546445693554
61,1856,91,0.1849071861353549,0.710381969305482
62,1836,90,0.20899805275321817,0.7113815705740104
63,1810,87,0.1915020440567071,0.6982475100232821
64,1790,86,0.1559889791606712,0.707449639698657
65,1765,84,0.1602466544991172,0.6955468683606696
66,1745,84,0.1611392521949719,0.6981487055990367
67,1720,83,0.17154986290055751,0.702710659375437
68,1705,83,0.1695739793063567,0.7050532586573173
69,1681,83,0.1913466343275075,0.699843177465808
70,1664,83,0.19529208989605498,0.707932298453777
71,1654,83,0.17385160663218246,0.6924988304586903
72,1641,83,0.17520253999071278,0.7005737971140016
73,1627,82,0.17886330074004975,0.7095784986976084
74,1621,82,0.17803192134179607,0.7020198418358452
75,1611,81,0.17719043719853894,0.7130759299604614
76,1601,81,0.17787435662887657,0.7201713775178686
77,1588,80,0.1846237856084314,0.7292440318302387
78,1577,79,0.18400626498639022,0.7267580402562066
79,1570,78,0.18094175089500394,0.7157231731628514
80,1563,78,0.17621018772279678,0.7194854528187862
81,1557,76,0.16859162520397292,0.7095890045843847
82,1546,75,0.17296756403197325,0.7181735780648085
83,1536,74,0.18894664418219773,0.7223351942914187
84,1527,74,0.1675852674236081,0.718964490987891
85,1515,74,0.156782136964216,0.7104863364405349
86,1503,74,0.17295414913632304,0.717478675316324
87,1494,74,0.20941772861892624,0.7280500570993529
88,1472,72,0.21528880870221068,0.7346279761904764
89,1454,71,0.21081128190657825,0.7223325491633823
90,1440,71,0.16631555955869573,0.7206607063858682
91,1423,71,0.1596890124753774,0.726175097924827
92,1405,70,0.19245547164553872,0.7403638309256287
93,1388,70,0.20364421756705134,0.7528506394970735
94,1372,70,0.20496425645132285,0.747871406627167
95,1364,70,0.2177289016322958,0.7499558401413117
96,1351,70,0.20634184914845555,0.7432140069142412
97,1336,70,0.21288450336274403,0.7401207402392236
98,1321,70,0.21252961554220537,0.7465399109284002
99,1309,69,0.22573960978058866,0.7429464703132304
100,1302,69,0.20096799250102976,0.7499676763402565
101,1291,69,0.21247054124208078,0.7417336748974122
102,1284,68,0.25094129140465254,0.743439193111455
103,1278,68,0.2063990539310382,0.7371293145357318
104,1269,67,0.1878517139490552,0.7360990389152406
105,1262,66,0.22749663242119864,0.7427409546974765
106,1257,66,0.2226382335386479,0.7411457140676285
107,1245,64,0.20641148627821365,0.7436692950889077
108,1232,64,0.23483384677768027,0.7487826412671232
109,1218,64,0.20442140386225083,0.7520377491334488
110,1198,62,0.19042795013484476,0.7459606428895956
111,1188,61,0.18122351301220496,0.7471307838887515
112,1179,61,0.20685663520180206,0.7390905891668377
113,1169,61,0.19675623230928413,0.7547197727407232
114,1154,60,0.20299821696816311,0.738307434491164
115,1143,60,0.20131171435096723,0.7405201600492459
116,1132,59,0.20583985184073375,0.7312935378394174
