DAG,Year,pi,AUCPR_MIN,AUPRC,Skill Score,SS_lo,SS_hi,AUCNPR,NPR_lo,NPR_hi,Martin,diff
Control,All,0.11065468549422336,0.057489091906219536,0.81,0.7864,0.7526,0.8201,0.7984,0.7666,0.8302,7.32,0.01200000000000001
Control,2020,0.13962264150943396,0.0733081912636172,0.81,0.7792,0.7211,0.8373,0.795,0.741,0.8489,5.801,0.015800000000000036
Control,2021,0.10435435435435435,0.054093224461258416,0.82,0.799,0.7432,0.866,0.8097,0.7568,0.8731,7.858,0.010699999999999932
Control,2022,0.0904373610081542,0.04664703355222888,0.84,0.8241,0.7581,0.8791,0.8322,0.7692,0.8846,9.288,0.008099999999999996
Correlation,All,0.11065468549422336,0.057489091906219536,0.75,0.7189,0.6739,0.7526,0.7348,0.6923,0.7666,6.778,0.015900000000000025
Correlation,2020,0.13962264150943396,0.0733081912636172,0.75,0.7094,0.6397,0.7792,0.7302,0.6655,0.795,5.372,0.02079999999999993
Correlation,2021,0.10435435435435435,0.054093224461258416,0.77,0.7432,0.665,0.799,0.7568,0.6828,0.8097,7.379,0.013600000000000056
Correlation,2022,0.0904373610081542,0.04664703355222888,0.77,0.7471,0.6702,0.8131,0.7587,0.6853,0.8217,8.514,0.011600000000000055
Simplified Clinician Consensus $\cup$ Simplified PCMB,All,0.11065468549422336,0.057489091906219536,0.79,0.7639,0.7189,0.7976,0.7772,0.7348,0.809,7.139,0.013299999999999979
Simplified Clinician Consensus $\cup$ Simplified PCMB,2020,0.13962264150943396,0.0733081912636172,0.79,0.7559,0.6978,0.814,0.7734,0.7194,0.8273,5.658,0.01749999999999996
Simplified Clinician Consensus $\cup$ Simplified PCMB,2021,0.10435435435435435,0.054093224461258416,0.8,0.7767,0.7097,0.8325,0.7886,0.7251,0.8414,7.666,0.011900000000000022
Simplified Clinician Consensus $\cup$ Simplified PCMB,2022,0.0904373610081542,0.04664703355222888,0.81,0.7911,0.7251,0.8571,0.8007,0.7378,0.8636,8.956,0.009599999999999942
Simplified Clinician Consensus $\cup$ Simplified Golem,All,0.11065468549422336,0.057489091906219536,0.78,0.7526,0.7189,0.7976,0.7666,0.7348,0.809,7.049,0.013999999999999901
Simplified Clinician Consensus $\cup$ Simplified Golem,2020,0.13962264150943396,0.0733081912636172,0.79,0.7559,0.6862,0.814,0.7734,0.7086,0.8273,5.658,0.01749999999999996
Simplified Clinician Consensus $\cup$ Simplified Golem,2021,0.10435435435435435,0.054093224461258416,0.79,0.7655,0.7097,0.8325,0.778,0.7251,0.8414,7.57,0.012500000000000067
Simplified Clinician Consensus $\cup$ Simplified Golem,2022,0.0904373610081542,0.04664703355222888,0.81,0.7911,0.7251,0.8571,0.8007,0.7378,0.8636,8.956,0.009599999999999942
Simplified Golem $\cup$ Simplified PCMB,All,0.11065468549422336,0.057489091906219536,0.78,0.7526,0.7189,0.7864,0.7666,0.7348,0.7984,7.049,0.013999999999999901
Simplified Golem $\cup$ Simplified PCMB,2020,0.13962264150943396,0.0733081912636172,0.8,0.7675,0.6978,0.8257,0.7842,0.7194,0.8381,5.73,0.016700000000000048
