DAG,Year,Average Precision,Normalized AUPRC,AUROC,Precision,Recall,F1 Score,Accuracy,ECE,# Features,# Biomarkers
Control,All,"0.81 (0.78, 0.84)","0.79 (0.75, 0.82)","0.93 (0.91, 0.95)","0.94 (0.92, 0.95)","0.80 (0.78, 0.83)","0.85 (0.83, 0.87)","0.95 (0.94, 0.96)",0.089,811,45
Control,2020,"0.81 (0.76, 0.86)","0.78 (0.72, 0.84)","0.93 (0.90, 0.95)","0.93 (0.90, 0.96)","0.82 (0.78, 0.85)","0.86 (0.83, 0.89)","0.94 (0.93, 0.96)",0.110,811,45
Control,2021,"0.82 (0.77, 0.88)","0.80 (0.74, 0.87)","0.95 (0.93, 0.97)","0.95 (0.93, 0.98)","0.79 (0.74, 0.83)","0.85 (0.81, 0.88)","0.95 (0.94, 0.96)",0.079,811,45
Control,2022,"0.84 (0.78, 0.89)","0.82 (0.76, 0.88)","0.93 (0.90, 0.96)","0.94 (0.91, 0.97)","0.84 (0.80, 0.88)","0.88 (0.85, 0.91)","0.97 (0.96, 0.97)",0.083,811,45
Correlation,All,"0.75 (0.71, 0.78)","0.72 (0.67, 0.75)","0.90 (0.88, 0.91)","0.90 (0.88, 0.92)","0.78 (0.76, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.108,113,37
Correlation,2020,"0.75 (0.69, 0.81)","0.71 (0.64, 0.78)","0.89 (0.86, 0.92)","0.90 (0.86, 0.93)","0.77 (0.73, 0.81)","0.82 (0.78, 0.85)","0.93 (0.91, 0.94)",0.125,113,37
Correlation,2021,"0.77 (0.70, 0.82)","0.74 (0.67, 0.80)","0.91 (0.89, 0.94)","0.90 (0.86, 0.94)","0.80 (0.76, 0.83)","0.84 (0.80, 0.87)","0.95 (0.94, 0.96)",0.104,113,37
Correlation,2022,"0.77 (0.70, 0.83)","0.75 (0.67, 0.81)","0.89 (0.85, 0.93)","0.90 (0.87, 0.94)","0.81 (0.77, 0.85)","0.85 (0.82, 0.88)","0.96 (0.95, 0.97)",0.099,113,37
Simplified Clinician Consensus $\cup$ Simplified PCMB,All,"0.79 (0.75, 0.82)","0.76 (0.72, 0.80)","0.91 (0.89, 0.93)","0.92 (0.90, 0.93)","0.80 (0.78, 0.83)","0.85 (0.83, 0.87)","0.95 (0.94, 0.96)",0.094,315,18
Simplified Clinician Consensus $\cup$ Simplified PCMB,2020,"0.79 (0.74, 0.84)","0.76 (0.70, 0.81)","0.91 (0.87, 0.94)","0.91 (0.88, 0.94)","0.81 (0.77, 0.84)","0.85 (0.81, 0.88)","0.94 (0.92, 0.95)",0.115,315,18
Simplified Clinician Consensus $\cup$ Simplified PCMB,2021,"0.80 (0.74, 0.85)","0.78 (0.71, 0.83)","0.92 (0.90, 0.95)","0.92 (0.89, 0.95)","0.80 (0.76, 0.84)","0.85 (0.81, 0.88)","0.95 (0.94, 0.96)",0.087,315,18
Simplified Clinician Consensus $\cup$ Simplified PCMB,2022,"0.81 (0.75, 0.87)","0.79 (0.73, 0.86)","0.92 (0.87, 0.95)","0.92 (0.89, 0.95)","0.83 (0.79, 0.87)","0.87 (0.84, 0.90)","0.96 (0.95, 0.97)",0.085,315,18
Simplified Clinician Consensus $\cup$ Simplified Golem,All,"0.78 (0.75, 0.82)","0.75 (0.72, 0.80)","0.91 (0.89, 0.93)","0.92 (0.90, 0.94)","0.79 (0.77, 0.82)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.092,389,22
Simplified Clinician Consensus $\cup$ Simplified Golem,2020,"0.79 (0.73, 0.84)","0.76 (0.69, 0.81)","0.91 (0.87, 0.94)","0.91 (0.88, 0.94)","0.79 (0.76, 0.83)","0.84 (0.80, 0.87)","0.93 (0.92, 0.95)",0.113,389,22
Simplified Clinician Consensus $\cup$ Simplified Golem,2021,"0.79 (0.74, 0.85)","0.77 (0.71, 0.83)","0.92 (0.89, 0.95)","0.93 (0.90, 0.96)","0.80 (0.76, 0.83)","0.85 (0.81, 0.88)","0.95 (0.94, 0.96)",0.085,389,22
Simplified Clinician Consensus $\cup$ Simplified Golem,2022,"0.81 (0.75, 0.87)","0.79 (0.73, 0.86)","0.92 (0.88, 0.95)","0.92 (0.89, 0.95)","0.84 (0.79, 0.88)","0.87 (0.84, 0.91)","0.96 (0.95, 0.97)",0.085,389,22
Simplified Golem $\cup$ Simplified PCMB,All,"0.78 (0.75, 0.81)","0.75 (0.72, 0.79)","0.91 (0.89, 0.93)","0.91 (0.89, 0.93)","0.79 (0.77, 0.81)","0.84 (0.82, 0.86)","0.94 (0.94, 0.95)",0.093,407,23
Simplified Golem $\cup$ Simplified PCMB,2020,"0.80 (0.74, 0.85)","0.77 (0.70, 0.83)","0.92 (0.89, 0.94)","0.91 (0.88, 0.94)","0.79 (0.76, 0.83)","0.84 (0.80, 0.87)","0.93 (0.92, 0.95)",0.115,407,23
Simplified Golem $\cup$ Simplified PCMB,2021,"0.79 (0.73, 0.84)","0.77 (0.70, 0.82)","0.91 (0.88, 0.94)","0.92 (0.89, 0.95)","0.79 (0.76, 0.84)","0.84 (0.81, 0.88)","0.95 (0.94, 0.96)",0.085,407,23
Simplified Golem $\cup$ Simplified PCMB,2022,"0.81 (0.74, 0.86)","0.79 (0.71, 0.85)","0.92 (0.88, 0.96)","0.90 (0.86, 0.94)","0.82 (0.78, 0.86)","0.85 (0.82, 0.89)","0.96 (0.95, 0.97)",0.085,407,23
Simplified Clinician Consensus,All,"0.77 (0.74, 0.81)","0.74 (0.71, 0.79)","0.91 (0.89, 0.93)","0.92 (0.90, 0.94)","0.79 (0.77, 0.82)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.095,259,15
Simplified Clinician Consensus,2020,"0.80 (0.75, 0.85)","0.77 (0.71, 0.83)","0.91 (0.88, 0.94)","0.92 (0.89, 0.95)","0.79 (0.75, 0.83)","0.84 (0.80, 0.87)","0.93 (0.92, 0.95)",0.114,259,15
Simplified Clinician Consensus,2021,"0.77 (0.71, 0.83)","0.74 (0.68, 0.81)","0.92 (0.89, 0.94)","0.92 (0.89, 0.95)","0.79 (0.75, 0.83)","0.84 (0.80, 0.87)","0.95 (0.94, 0.96)",0.089,259,15
Simplified Clinician Consensus,2022,"0.81 (0.74, 0.86)","0.79 (0.71, 0.85)","0.92 (0.88, 0.95)","0.94 (0.91, 0.97)","0.83 (0.79, 0.87)","0.88 (0.84, 0.91)","0.96 (0.96, 0.97)",0.085,259,15
Simplified Clinician Consensus $\cap$ Simplified PCMB,All,"0.79 (0.75, 0.82)","0.76 (0.72, 0.80)","0.91 (0.89, 0.93)","0.93 (0.91, 0.94)","0.80 (0.77, 0.82)","0.85 (0.82, 0.86)","0.95 (0.94, 0.96)",0.095,240,14
Simplified Clinician Consensus $\cap$ Simplified PCMB,2020,"0.80 (0.75, 0.86)","0.77 (0.71, 0.84)","0.91 (0.88, 0.94)","0.92 (0.89, 0.95)","0.79 (0.75, 0.83)","0.84 (0.80, 0.87)","0.93 (0.92, 0.95)",0.117,240,14
Simplified Clinician Consensus $\cap$ Simplified PCMB,2021,"0.79 (0.73, 0.84)","0.77 (0.70, 0.82)","0.92 (0.90, 0.95)","0.95 (0.92, 0.97)","0.79 (0.76, 0.83)","0.85 (0.82, 0.88)","0.95 (0.94, 0.96)",0.086,240,14
Simplified Clinician Consensus $\cap$ Simplified PCMB,2022,"0.81 (0.75, 0.87)","0.79 (0.73, 0.86)","0.92 (0.87, 0.95)","0.93 (0.90, 0.96)","0.83 (0.79, 0.87)","0.87 (0.84, 0.90)","0.96 (0.95, 0.97)",0.087,240,14
Simplified PCMB,All,"0.78 (0.75, 0.82)","0.75 (0.72, 0.80)","0.91 (0.89, 0.93)","0.92 (0.91, 0.94)","0.79 (0.77, 0.81)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.092,296,17
Simplified PCMB,2020,"0.79 (0.73, 0.84)","0.76 (0.69, 0.81)","0.91 (0.88, 0.94)","0.92 (0.89, 0.95)","0.79 (0.75, 0.83)","0.84 (0.80, 0.87)","0.93 (0.92, 0.95)",0.110,296,17
Simplified PCMB,2021,"0.79 (0.74, 0.85)","0.77 (0.71, 0.83)","0.91 (0.88, 0.94)","0.92 (0.89, 0.95)","0.78 (0.74, 0.82)","0.83 (0.80, 0.87)","0.95 (0.93, 0.96)",0.087,296,17
Simplified PCMB,2022,"0.82 (0.75, 0.87)","0.80 (0.73, 0.86)","0.92 (0.88, 0.95)","0.95 (0.93, 0.98)","0.83 (0.79, 0.87)","0.88 (0.84, 0.91)","0.97 (0.96, 0.97)",0.084,296,17
Simplified Golem,All,"0.77 (0.74, 0.80)","0.74 (0.71, 0.78)","0.91 (0.89, 0.93)","0.91 (0.90, 0.93)","0.79 (0.76, 0.81)","0.83 (0.82, 0.86)","0.94 (0.94, 0.95)",0.095,199,11
Simplified Golem,2020,"0.78 (0.72, 0.83)","0.74 (0.67, 0.80)","0.91 (0.88, 0.94)","0.91 (0.88, 0.94)","0.78 (0.74, 0.81)","0.83 (0.79, 0.86)","0.93 (0.91, 0.94)",0.113,199,11
Simplified Golem,2021,"0.79 (0.73, 0.84)","0.77 (0.70, 0.82)","0.93 (0.90, 0.95)","0.93 (0.90, 0.96)","0.79 (0.75, 0.83)","0.84 (0.80, 0.87)","0.95 (0.94, 0.96)",0.086,199,11
Simplified Golem,2022,"0.80 (0.73, 0.86)","0.78 (0.70, 0.85)","0.92 (0.87, 0.95)","0.91 (0.87, 0.94)","0.82 (0.78, 0.86)","0.86 (0.82, 0.89)","0.96 (0.95, 0.97)",0.089,199,11
Simplified Golem $\cap$ Simplified PCMB,All,"0.76 (0.73, 0.80)","0.73 (0.70, 0.78)","0.90 (0.89, 0.92)","0.90 (0.88, 0.92)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.102,88,5
Simplified Golem $\cap$ Simplified PCMB,2020,"0.78 (0.73, 0.84)","0.74 (0.69, 0.81)","0.91 (0.88, 0.94)","0.90 (0.86, 0.93)","0.79 (0.74, 0.83)","0.83 (0.79, 0.86)","0.93 (0.91, 0.94)",0.120,88,5
Simplified Golem $\cap$ Simplified PCMB,2021,"0.77 (0.71, 0.83)","0.74 (0.68, 0.81)","0.91 (0.88, 0.94)","0.93 (0.90, 0.96)","0.78 (0.74, 0.82)","0.84 (0.80, 0.87)","0.95 (0.94, 0.96)",0.093,88,5
Simplified Golem $\cap$ Simplified PCMB,2022,"0.78 (0.71, 0.84)","0.76 (0.68, 0.82)","0.91 (0.87, 0.94)","0.90 (0.87, 0.94)","0.82 (0.78, 0.86)","0.86 (0.82, 0.89)","0.96 (0.95, 0.97)",0.094,88,5
Simplified Clinician Consensus $\cap$ Simplified Golem,All,"0.74 (0.70, 0.77)","0.71 (0.66, 0.74)","0.89 (0.87, 0.91)","0.89 (0.87, 0.91)","0.78 (0.76, 0.80)","0.82 (0.80, 0.84)","0.94 (0.93, 0.95)",0.106,69,4
Simplified Clinician Consensus $\cap$ Simplified Golem,2020,"0.78 (0.73, 0.84)","0.74 (0.69, 0.81)","0.90 (0.86, 0.93)","0.92 (0.88, 0.95)","0.79 (0.75, 0.83)","0.84 (0.80, 0.87)","0.93 (0.92, 0.95)",0.125,69,4
Simplified Clinician Consensus $\cap$ Simplified Golem,2021,"0.73 (0.66, 0.79)","0.70 (0.62, 0.77)","0.89 (0.86, 0.92)","0.90 (0.86, 0.93)","0.77 (0.73, 0.81)","0.82 (0.78, 0.85)","0.94 (0.93, 0.95)",0.098,69,4
