DAG,Metric,Year A,Year B,AUCNPR (A),AUCNPR (B),|Δ|,p-value,Significant (p<0.05)
Control,AUCNPR,2020,2021,0.8,0.812,0.013,0.756,False
Control,AUCNPR,2020,2022,0.8,0.827,0.028,0.501,False
Control,AUCNPR,2021,2022,0.812,0.827,0.015,0.697,False
Correlation,AUCNPR,2020,2021,0.733,0.753,0.02,0.675,False
Correlation,AUCNPR,2020,2022,0.733,0.754,0.021,0.684,False
Correlation,AUCNPR,2021,2022,0.753,0.754,0.001,0.985,False
Simplified Clinician Consensus $\cup$ Simplified PCMB,AUCNPR,2020,2021,0.777,0.784,0.007,0.883,False
Simplified Clinician Consensus $\cup$ Simplified PCMB,AUCNPR,2020,2022,0.777,0.806,0.029,0.514,False
Simplified Clinician Consensus $\cup$ Simplified PCMB,AUCNPR,2021,2022,0.784,0.806,0.022,0.61,False
Simplified Clinician Consensus $\cup$ Simplified Golem,AUCNPR,2020,2021,0.77,0.782,0.012,0.774,False
Simplified Clinician Consensus $\cup$ Simplified Golem,AUCNPR,2020,2022,0.77,0.803,0.033,0.482,False
Simplified Clinician Consensus $\cup$ Simplified Golem,AUCNPR,2021,2022,0.782,0.803,0.021,0.612,False
Simplified Golem $\cup$ Simplified PCMB,AUCNPR,2020,2021,0.783,0.775,0.008,0.868,False
Simplified Golem $\cup$ Simplified PCMB,AUCNPR,2020,2022,0.783,0.798,0.015,0.735,False
Simplified Golem $\cup$ Simplified PCMB,AUCNPR,2021,2022,0.775,0.798,0.023,0.61,False
Simplified Clinician Consensus,AUCNPR,2020,2021,0.787,0.758,0.029,0.521,False
Simplified Clinician Consensus,AUCNPR,2020,2022,0.787,0.798,0.011,0.798,False
Simplified Clinician Consensus,AUCNPR,2021,2022,0.758,0.798,0.04,0.366,False
Simplified Clinician Consensus $\cap$ Simplified PCMB,AUCNPR,2020,2021,0.789,0.775,0.014,0.756,False
Simplified Clinician Consensus $\cap$ Simplified PCMB,AUCNPR,2020,2022,0.789,0.806,0.017,0.685,False
Simplified Clinician Consensus $\cap$ Simplified PCMB,AUCNPR,2021,2022,0.775,0.806,0.031,0.476,False
Simplified PCMB,AUCNPR,2020,2021,0.774,0.78,0.006,0.911,False
Simplified PCMB,AUCNPR,2020,2022,0.774,0.81,0.036,0.412,False
Simplified PCMB,AUCNPR,2021,2022,0.78,0.81,0.03,0.471,False
Simplified Golem,AUCNPR,2020,2021,0.762,0.775,0.013,0.765,False
Simplified Golem,AUCNPR,2020,2022,0.762,0.792,0.03,0.532,False
Simplified Golem,AUCNPR,2021,2022,0.775,0.792,0.017,0.697,False
Simplified Golem $\cap$ Simplified PCMB,AUCNPR,2020,2021,0.767,0.756,0.011,0.803,False
Simplified Golem $\cap$ Simplified PCMB,AUCNPR,2020,2022,0.767,0.768,0.001,0.983,False
Simplified Golem $\cap$ Simplified PCMB,AUCNPR,2021,2022,0.756,0.768,0.012,0.779,False
Simplified Clinician Consensus $\cap$ Simplified Golem,AUCNPR,2020,2021,0.766,0.71,0.056,0.241,False
Simplified Clinician Consensus $\cap$ Simplified Golem,AUCNPR,2020,2022,0.766,0.73,0.036,0.449,False
Simplified Clinician Consensus $\cap$ Simplified Golem,AUCNPR,2021,2022,0.71,0.73,0.02,0.683,False
