Model,DAG,Year,# Features,# Biomarkers,Average Precision,AUROC,Precision,Recall,F1 Score,Accuracy,ECE
XGB,Control,All,811,45,"0.81 (0.78, 0.84)","0.93 (0.91, 0.95)","0.94 (0.92, 0.95)","0.80 (0.78, 0.83)","0.85 (0.83, 0.87)","0.95 (0.94, 0.96)",0.089
XGB,Control,2020,811,45,"0.81 (0.76, 0.86)","0.93 (0.90, 0.95)","0.93 (0.90, 0.96)","0.82 (0.78, 0.85)","0.86 (0.83, 0.89)","0.94 (0.93, 0.96)",0.110
XGB,Control,2021,811,45,"0.82 (0.77, 0.88)","0.95 (0.93, 0.97)","0.95 (0.93, 0.98)","0.79 (0.74, 0.83)","0.85 (0.81, 0.88)","0.95 (0.94, 0.96)",0.079
XGB,Control,2022,811,45,"0.84 (0.78, 0.89)","0.93 (0.90, 0.96)","0.94 (0.91, 0.97)","0.84 (0.80, 0.88)","0.88 (0.85, 0.91)","0.97 (0.96, 0.97)",0.083
XGB,Correlation,All,113,37,"0.75 (0.71, 0.78)","0.90 (0.88, 0.91)","0.90 (0.88, 0.92)","0.78 (0.76, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.108
XGB,Correlation,2020,113,37,"0.75 (0.69, 0.81)","0.89 (0.86, 0.92)","0.90 (0.86, 0.93)","0.77 (0.73, 0.81)","0.82 (0.78, 0.85)","0.93 (0.91, 0.94)",0.125
XGB,Correlation,2021,113,37,"0.77 (0.70, 0.82)","0.91 (0.89, 0.94)","0.90 (0.86, 0.94)","0.80 (0.76, 0.83)","0.84 (0.80, 0.87)","0.95 (0.94, 0.96)",0.104
XGB,Correlation,2022,113,37,"0.77 (0.70, 0.83)","0.89 (0.85, 0.93)","0.90 (0.87, 0.94)","0.81 (0.77, 0.85)","0.85 (0.82, 0.88)","0.96 (0.95, 0.97)",0.099
XGB,Simplified Clinician Consensus $\cup$ Simplified PCMB,All,334,19,"0.77 (0.74, 0.81)","0.91 (0.89, 0.93)","0.92 (0.91, 0.94)","0.79 (0.77, 0.82)","0.84 (0.82, 0.87)","0.95 (0.94, 0.96)",0.092
XGB,Simplified Clinician Consensus $\cup$ Simplified PCMB,2020,334,19,"0.77 (0.71, 0.82)","0.90 (0.87, 0.93)","0.92 (0.89, 0.95)","0.78 (0.74, 0.82)","0.83 (0.79, 0.86)","0.93 (0.92, 0.95)",0.112
XGB,Simplified Clinician Consensus $\cup$ Simplified PCMB,2021,334,19,"0.81 (0.75, 0.86)","0.93 (0.90, 0.95)","0.94 (0.92, 0.97)","0.80 (0.76, 0.84)","0.85 (0.82, 0.89)","0.95 (0.94, 0.96)",0.084
XGB,Simplified Clinician Consensus $\cup$ Simplified PCMB,2022,334,19,"0.80 (0.74, 0.86)","0.91 (0.87, 0.94)","0.92 (0.88, 0.95)","0.83 (0.79, 0.88)","0.87 (0.83, 0.91)","0.96 (0.95, 0.97)",0.085
XGB,Simplified Clinician Consensus $\cup$ Simplified Golem,All,408,23,"0.79 (0.76, 0.82)","0.91 (0.89, 0.93)","0.93 (0.91, 0.95)","0.80 (0.78, 0.83)","0.85 (0.83, 0.87)","0.95 (0.94, 0.96)",0.094
XGB,Simplified Clinician Consensus $\cup$ Simplified Golem,2020,408,23,"0.81 (0.75, 0.86)","0.92 (0.88, 0.94)","0.92 (0.88, 0.95)","0.80 (0.76, 0.83)","0.84 (0.81, 0.87)","0.93 (0.92, 0.95)",0.116
XGB,Simplified Clinician Consensus $\cup$ Simplified Golem,2021,408,23,"0.79 (0.73, 0.85)","0.91 (0.88, 0.94)","0.95 (0.92, 0.97)","0.80 (0.76, 0.84)","0.85 (0.82, 0.89)","0.95 (0.94, 0.96)",0.085
XGB,Simplified Clinician Consensus $\cup$ Simplified Golem,2022,408,23,"0.82 (0.76, 0.88)","0.92 (0.88, 0.95)","0.94 (0.91, 0.97)","0.85 (0.82, 0.89)","0.89 (0.86, 0.92)","0.97 (0.96, 0.98)",0.086
XGB,Simplified Golem $\cup$ Simplified PCMB,All,407,23,"0.78 (0.75, 0.81)","0.91 (0.89, 0.93)","0.91 (0.89, 0.93)","0.79 (0.77, 0.81)","0.84 (0.82, 0.86)","0.94 (0.94, 0.95)",0.093
XGB,Simplified Golem $\cup$ Simplified PCMB,2020,407,23,"0.80 (0.74, 0.85)","0.92 (0.89, 0.94)","0.91 (0.88, 0.94)","0.79 (0.76, 0.83)","0.84 (0.80, 0.87)","0.93 (0.92, 0.95)",0.115
XGB,Simplified Golem $\cup$ Simplified PCMB,2021,407,23,"0.79 (0.73, 0.84)","0.91 (0.88, 0.94)","0.92 (0.89, 0.95)","0.79 (0.76, 0.84)","0.84 (0.81, 0.88)","0.95 (0.94, 0.96)",0.085
XGB,Simplified Golem $\cup$ Simplified PCMB,2022,407,23,"0.81 (0.74, 0.86)","0.92 (0.88, 0.96)","0.90 (0.86, 0.94)","0.82 (0.78, 0.86)","0.85 (0.82, 0.89)","0.96 (0.95, 0.97)",0.085
XGB,Simplified Clinician Consensus,All,278,16,"0.78 (0.75, 0.82)","0.91 (0.89, 0.93)","0.94 (0.92, 0.95)","0.80 (0.77, 0.82)","0.85 (0.83, 0.87)","0.95 (0.94, 0.96)",0.094
XGB,Simplified Clinician Consensus,2020,278,16,"0.80 (0.75, 0.85)","0.91 (0.88, 0.94)","0.93 (0.90, 0.95)","0.79 (0.75, 0.83)","0.84 (0.81, 0.87)","0.94 (0.92, 0.95)",0.114
XGB,Simplified Clinician Consensus,2021,278,16,"0.78 (0.72, 0.84)","0.92 (0.89, 0.95)","0.94 (0.91, 0.97)","0.79 (0.75, 0.83)","0.85 (0.81, 0.88)","0.95 (0.94, 0.96)",0.087
XGB,Simplified Clinician Consensus,2022,278,16,"0.81 (0.75, 0.87)","0.91 (0.87, 0.95)","0.95 (0.92, 0.97)","0.83 (0.79, 0.87)","0.88 (0.85, 0.91)","0.97 (0.96, 0.97)",0.084
XGB,Simplified Clinician Consensus $\cap$ Simplified PCMB,All,240,14,"0.79 (0.75, 0.82)","0.91 (0.89, 0.93)","0.93 (0.91, 0.94)","0.80 (0.77, 0.82)","0.85 (0.82, 0.86)","0.95 (0.94, 0.96)",0.095
XGB,Simplified Clinician Consensus $\cap$ Simplified PCMB,2020,240,14,"0.80 (0.75, 0.86)","0.91 (0.88, 0.94)","0.92 (0.89, 0.95)","0.79 (0.75, 0.83)","0.84 (0.80, 0.87)","0.93 (0.92, 0.95)",0.117
XGB,Simplified Clinician Consensus $\cap$ Simplified PCMB,2021,240,14,"0.79 (0.73, 0.84)","0.92 (0.90, 0.95)","0.95 (0.92, 0.97)","0.79 (0.76, 0.83)","0.85 (0.82, 0.88)","0.95 (0.94, 0.96)",0.086
XGB,Simplified Clinician Consensus $\cap$ Simplified PCMB,2022,240,14,"0.81 (0.75, 0.87)","0.92 (0.87, 0.95)","0.93 (0.90, 0.96)","0.83 (0.79, 0.87)","0.87 (0.84, 0.90)","0.96 (0.95, 0.97)",0.087
XGB,Simplified PCMB,All,296,17,"0.78 (0.75, 0.82)","0.91 (0.89, 0.93)","0.92 (0.91, 0.94)","0.79 (0.77, 0.81)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.092
XGB,Simplified PCMB,2020,296,17,"0.79 (0.73, 0.84)","0.91 (0.88, 0.94)","0.92 (0.89, 0.95)","0.79 (0.75, 0.83)","0.84 (0.80, 0.87)","0.93 (0.92, 0.95)",0.110
XGB,Simplified PCMB,2021,296,17,"0.79 (0.74, 0.85)","0.91 (0.88, 0.94)","0.92 (0.89, 0.95)","0.78 (0.74, 0.82)","0.83 (0.80, 0.87)","0.95 (0.93, 0.96)",0.087
XGB,Simplified PCMB,2022,296,17,"0.82 (0.75, 0.87)","0.92 (0.88, 0.95)","0.95 (0.93, 0.98)","0.83 (0.79, 0.87)","0.88 (0.84, 0.91)","0.97 (0.96, 0.97)",0.084
XGB,Simplified Golem,All,199,11,"0.77 (0.74, 0.80)","0.91 (0.89, 0.93)","0.91 (0.90, 0.93)","0.79 (0.76, 0.81)","0.83 (0.82, 0.86)","0.94 (0.94, 0.95)",0.095
XGB,Simplified Golem,2020,199,11,"0.78 (0.72, 0.83)","0.91 (0.88, 0.94)","0.91 (0.88, 0.94)","0.78 (0.74, 0.81)","0.83 (0.79, 0.86)","0.93 (0.91, 0.94)",0.113
XGB,Simplified Golem,2021,199,11,"0.79 (0.73, 0.84)","0.93 (0.90, 0.95)","0.93 (0.90, 0.96)","0.79 (0.75, 0.83)","0.84 (0.80, 0.87)","0.95 (0.94, 0.96)",0.086
XGB,Simplified Golem,2022,199,11,"0.80 (0.73, 0.86)","0.92 (0.87, 0.95)","0.91 (0.87, 0.94)","0.82 (0.78, 0.86)","0.86 (0.82, 0.89)","0.96 (0.95, 0.97)",0.089
XGB,Simplified Golem $\cap$ Simplified PCMB,All,88,5,"0.76 (0.73, 0.80)","0.90 (0.89, 0.92)","0.90 (0.88, 0.92)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.102
XGB,Simplified Golem $\cap$ Simplified PCMB,2020,88,5,"0.78 (0.73, 0.84)","0.91 (0.88, 0.94)","0.90 (0.86, 0.93)","0.79 (0.74, 0.83)","0.83 (0.79, 0.86)","0.93 (0.91, 0.94)",0.120
XGB,Simplified Golem $\cap$ Simplified PCMB,2021,88,5,"0.77 (0.71, 0.83)","0.91 (0.88, 0.94)","0.93 (0.90, 0.96)","0.78 (0.74, 0.82)","0.84 (0.80, 0.87)","0.95 (0.94, 0.96)",0.093
XGB,Simplified Golem $\cap$ Simplified PCMB,2022,88,5,"0.78 (0.71, 0.84)","0.91 (0.87, 0.94)","0.90 (0.87, 0.94)","0.82 (0.78, 0.86)","0.86 (0.82, 0.89)","0.96 (0.95, 0.97)",0.094
XGB,Simplified Clinician Consensus $\cap$ Simplified Golem,All,69,4,"0.74 (0.70, 0.77)","0.89 (0.87, 0.91)","0.89 (0.87, 0.91)","0.78 (0.76, 0.80)","0.82 (0.80, 0.84)","0.94 (0.93, 0.95)",0.106
XGB,Simplified Clinician Consensus $\cap$ Simplified Golem,2020,69,4,"0.78 (0.73, 0.84)","0.90 (0.86, 0.93)","0.92 (0.88, 0.95)","0.79 (0.75, 0.83)","0.84 (0.80, 0.87)","0.93 (0.92, 0.95)",0.125
XGB,Simplified Clinician Consensus $\cap$ Simplified Golem,2021,69,4,"0.73 (0.66, 0.79)","0.89 (0.86, 0.92)","0.90 (0.86, 0.93)","0.77 (0.73, 0.81)","0.82 (0.78, 0.85)","0.94 (0.93, 0.95)",0.098
XGB,Simplified Clinician Consensus $\cap$ Simplified Golem,2022,69,4,"0.74 (0.67, 0.81)","0.88 (0.84, 0.92)","0.89 (0.85, 0.93)","0.81 (0.77, 0.85)","0.84 (0.81, 0.88)","0.95 (0.94, 0.96)",0.097
