DAG,Metric,Year A,Year B,AUCNPR (A),AUCNPR (B),|Δ|,p-value,Significant (p<0.05)
Control,AUCNPR,2020,2021,0.8,0.812,0.013,0.804,False
Control,AUCNPR,2020,2022,0.8,0.827,0.028,0.654,False
Control,AUCNPR,2021,2022,0.812,0.827,0.015,0.719,False
Correlation,AUCNPR,2020,2021,0.733,0.753,0.02,0.709,False
Correlation,AUCNPR,2020,2022,0.733,0.754,0.021,0.737,False
Correlation,AUCNPR,2021,2022,0.753,0.754,0.001,0.982,False
Simplified Clinician Consensus $\cup$ Simplified PCMB,AUCNPR,2020,2021,0.751,0.795,0.045,0.38,False
Simplified Clinician Consensus $\cup$ Simplified PCMB,AUCNPR,2020,2022,0.751,0.789,0.038,0.569,False
Simplified Clinician Consensus $\cup$ Simplified PCMB,AUCNPR,2021,2022,0.795,0.789,0.006,0.878,False
Simplified Clinician Consensus $\cup$ Simplified Golem,AUCNPR,2020,2021,0.795,0.778,0.017,0.702,False
Simplified Clinician Consensus $\cup$ Simplified Golem,AUCNPR,2020,2022,0.795,0.813,0.018,0.773,False
Simplified Clinician Consensus $\cup$ Simplified Golem,AUCNPR,2021,2022,0.778,0.813,0.035,0.433,False
Simplified Golem $\cup$ Simplified PCMB,AUCNPR,2020,2021,0.783,0.775,0.008,0.881,False
Simplified Golem $\cup$ Simplified PCMB,AUCNPR,2020,2022,0.783,0.798,0.015,0.839,False
Simplified Golem $\cup$ Simplified PCMB,AUCNPR,2021,2022,0.775,0.798,0.023,0.617,False
Simplified Clinician Consensus,AUCNPR,2020,2021,0.784,0.768,0.016,0.764,False
Simplified Clinician Consensus,AUCNPR,2020,2022,0.784,0.804,0.02,0.751,False
Simplified Clinician Consensus,AUCNPR,2021,2022,0.768,0.804,0.036,0.441,False
Simplified Clinician Consensus $\cap$ Simplified PCMB,AUCNPR,2020,2021,0.789,0.775,0.014,0.793,False
Simplified Clinician Consensus $\cap$ Simplified PCMB,AUCNPR,2020,2022,0.789,0.806,0.017,0.795,False
Simplified Clinician Consensus $\cap$ Simplified PCMB,AUCNPR,2021,2022,0.775,0.806,0.031,0.499,False
Simplified PCMB,AUCNPR,2020,2021,0.774,0.78,0.006,0.896,False
Simplified PCMB,AUCNPR,2020,2022,0.774,0.81,0.036,0.559,False
Simplified PCMB,AUCNPR,2021,2022,0.78,0.81,0.03,0.528,False
Simplified Golem,AUCNPR,2020,2021,0.762,0.775,0.013,0.804,False
Simplified Golem,AUCNPR,2020,2022,0.762,0.792,0.03,0.658,False
Simplified Golem,AUCNPR,2021,2022,0.775,0.792,0.017,0.713,False
Simplified Golem $\cap$ Simplified PCMB,AUCNPR,2020,2021,0.767,0.756,0.011,0.827,False
Simplified Golem $\cap$ Simplified PCMB,AUCNPR,2020,2022,0.767,0.768,0.001,0.988,False
Simplified Golem $\cap$ Simplified PCMB,AUCNPR,2021,2022,0.756,0.768,0.012,0.805,False
Simplified Clinician Consensus $\cap$ Simplified Golem,AUCNPR,2020,2021,0.766,0.71,0.056,0.291,False
Simplified Clinician Consensus $\cap$ Simplified Golem,AUCNPR,2020,2022,0.766,0.73,0.036,0.581,False
Simplified Clinician Consensus $\cap$ Simplified Golem,AUCNPR,2021,2022,0.71,0.73,0.02,0.72,False
