DAG,Metric,Year A,Year B,AUCNPR (A),AUCNPR (B),|Δ|,p-value,Significant (p<0.05)
Control,AUCNPR,2020,2021,0.777,0.786,0.009,0.848,False
Control,AUCNPR,2020,2022,0.777,0.791,0.014,0.834,False
Control,AUCNPR,2021,2022,0.786,0.791,0.005,0.905,False
Correlation,AUCNPR,2020,2021,0.73,0.743,0.013,0.799,False
Correlation,AUCNPR,2020,2022,0.73,0.77,0.04,0.541,False
Correlation,AUCNPR,2021,2022,0.743,0.77,0.027,0.563,False
Simplified Clinician Consensus $\cup$ Simplified PCMB,AUCNPR,2020,2021,0.76,0.762,0.002,0.967,False
Simplified Clinician Consensus $\cup$ Simplified PCMB,AUCNPR,2020,2022,0.76,0.77,0.01,0.879,False
Simplified Clinician Consensus $\cup$ Simplified PCMB,AUCNPR,2021,2022,0.762,0.77,0.008,0.884,False
Simplified Clinician Consensus $\cup$ Simplified Golem,AUCNPR,2020,2021,0.744,0.781,0.037,0.51,False
Simplified Clinician Consensus $\cup$ Simplified Golem,AUCNPR,2020,2022,0.744,0.781,0.037,0.605,False
Simplified Clinician Consensus $\cup$ Simplified Golem,AUCNPR,2021,2022,0.781,0.781,0.0,0.994,False
Simplified Golem $\cup$ Simplified PCMB,AUCNPR,2020,2021,0.749,0.779,0.03,0.565,False
Simplified Golem $\cup$ Simplified PCMB,AUCNPR,2020,2022,0.749,0.784,0.036,0.601,False
Simplified Golem $\cup$ Simplified PCMB,AUCNPR,2021,2022,0.779,0.784,0.006,0.892,False
Simplified Clinician Consensus,AUCNPR,2020,2021,0.727,0.725,0.002,0.968,False
Simplified Clinician Consensus,AUCNPR,2020,2022,0.727,0.751,0.024,0.754,False
Simplified Clinician Consensus,AUCNPR,2021,2022,0.725,0.751,0.026,0.614,False
Simplified Clinician Consensus $\cap$ Simplified PCMB,AUCNPR,2020,2021,0.732,0.689,0.043,0.448,False
Simplified Clinician Consensus $\cap$ Simplified PCMB,AUCNPR,2020,2022,0.732,0.763,0.031,0.658,False
Simplified Clinician Consensus $\cap$ Simplified PCMB,AUCNPR,2021,2022,0.689,0.763,0.074,0.16,False
Simplified PCMB,AUCNPR,2020,2021,0.736,0.776,0.039,0.47,False
Simplified PCMB,AUCNPR,2020,2022,0.736,0.787,0.051,0.437,False
Simplified PCMB,AUCNPR,2021,2022,0.776,0.787,0.012,0.793,False
Simplified Golem,AUCNPR,2020,2021,0.721,0.773,0.052,0.334,False
Simplified Golem,AUCNPR,2020,2022,0.721,0.801,0.08,0.245,False
Simplified Golem,AUCNPR,2021,2022,0.773,0.801,0.028,0.58,False
Simplified Golem $\cap$ Simplified PCMB,AUCNPR,2020,2021,0.715,0.704,0.011,0.857,False
Simplified Golem $\cap$ Simplified PCMB,AUCNPR,2020,2022,0.715,0.718,0.004,0.967,False
Simplified Golem $\cap$ Simplified PCMB,AUCNPR,2021,2022,0.704,0.718,0.015,0.792,False
Simplified Clinician Consensus $\cap$ Simplified Golem,AUCNPR,2020,2021,0.672,0.646,0.026,0.694,False
Simplified Clinician Consensus $\cap$ Simplified Golem,AUCNPR,2020,2022,0.672,0.645,0.027,0.753,False
Simplified Clinician Consensus $\cap$ Simplified Golem,AUCNPR,2021,2022,0.646,0.645,0.001,0.987,False
